issue_source,issue_id,severity_or_status,entity_id,description,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
timeseries_mapping,TS-02,conditional,QX-00005|110|BDZ-00096|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-03,conditional,QX-00005|110|BDZ-00096|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-04,conditional,QX-00005|110|BDZ-00028|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-05,conditional,QX-00005|110|BDZ-00028|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-06,conditional,QX-00005|110|BDZ-00124|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-07,conditional,QX-00005|110|BDZ-00124|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-08,conditional,QX-00005|110|BDZ-00026|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-09,conditional,QX-00005|110|BDZ-00037|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-10,conditional,QX-00005|35|BDZ-00255|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-11,conditional,QX-00005|35|BDZ-00290|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-12,conditional,QX-00005|35|BDZ-00290|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-13,conditional,QX-00005|35|BDZ-00248|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-14,conditional,QX-00005|35|BDZ-00314|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-15,conditional,QX-00005|35|BDZ-00314|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-16,conditional,QX-00005|110|BDZ-00135|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-17,conditional,QX-00005|110|BDZ-00135|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-18,conditional,QX-00005|35|BDZ-00246|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-19,conditional,QX-00005|35|BDZ-00246|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-20,conditional,QX-00005|110|BDZ-00048|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-21,conditional,QX-00005|35|BDZ-00325|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-22,conditional,QX-00005|35|BDZ-00325|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-23,conditional,QX-00005|110|BDZ-00141|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-24,conditional,QX-00005|35|BDZ-00255|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-25,conditional,QX-00005|110|BDZ-00005|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-26,conditional,QX-00005|110|BDZ-00005|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-27,conditional,QX-00005|35|BDZ-00247|#3,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-28,conditional,QX-00005|35|BDZ-00247|#4,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-29,conditional,QX-00005|110|BDZ-00172|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-30,conditional,QX-00005|110|BDZ-00172|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-31,conditional,QX-00005|110|BDZ-00021|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-32,conditional,QX-00005|110|BDZ-00021|#3,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-33,conditional,QX-00005|35|BDZ-00280|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-34,conditional,QX-00005|35|BDZ-00280|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-35,conditional,QX-00005|110|BDZ-00037|#3,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-36,conditional,QX-00005|35|BDZ-00248|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-37,conditional,QX-00005|110|BDZ-00048|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-38,conditional,QX-00005|110|BDZ-00031|#3,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-39,conditional,QX-00005|110|BDZ-00031|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-40,conditional,QX-00005|110|BDZ-00026|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-41,conditional,QX-00005|110|BDZ-00027|#3,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-42,conditional,QX-00005|110|BDZ-00016|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-43,conditional,QX-00005|110|BDZ-00016|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-44,conditional,QX-00005|110|BDZ-00027|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-45,conditional,QX-00005|110|BDZ-00164|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-46,conditional,QX-00005|110|BDZ-00164|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-47,conditional,QX-00005|110|BDZ-00147|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-48,conditional,QX-00005|110|BDZ-00147|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-49,conditional,QX-00005|110|BDZ-00162|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-50,conditional,QX-00005|110|BDZ-00162|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-51,conditional,QX-00005|110|BDZ-00146|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-52,conditional,QX-00005|110|BDZ-00146|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-53,conditional,QX-00005|110|BDZ-00095|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-54,conditional,QX-00005|110|BDZ-00095|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-55,conditional,QX-00005|110|BDZ-00022|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
timeseries_mapping,TS-56,conditional,QX-00005|110|BDZ-00022|#2,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
