issue_id,severity,entity_id,description,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256,year,timestamp,source_column_1_based,source_header_station_id,transformer_uid,raw_value_mw
TS-2022-57-SUMMARY,,,mapping=rejected; missing=8760; outlier=0,SRC07:Sheet1,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2022.0,,57.0,BDZ-00056,QX-00005|110|BDZ-00056|#1,
TS-2022-58-SUMMARY,,,mapping=rejected; missing=8760; outlier=0,SRC07:Sheet1,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2022.0,,58.0,BDZ-00056,QX-00005|110|BDZ-00056|#2,
TS-2023-55-SUMMARY,,,mapping=approved; missing=8760; outlier=0,SRC07:Sheet2,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2023.0,,55.0,BDZ-00022,QX-00005|110|BDZ-00022|#1,
TS-2023-56-SUMMARY,,,mapping=approved; missing=8760; outlier=0,SRC07:Sheet2,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2023.0,,56.0,BDZ-00022,QX-00005|110|BDZ-00022|#2,
TS-2023-57-SUMMARY,,,mapping=rejected; missing=8760; outlier=0,SRC07:Sheet2,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2023.0,,57.0,BDZ-00056,QX-00005|110|BDZ-00056|#1,
TS-2023-58-SUMMARY,,,mapping=rejected; missing=8760; outlier=0,SRC07:Sheet2,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2023.0,,58.0,BDZ-00056,QX-00005|110|BDZ-00056|#2,
TS-2024-31-SUMMARY,,,mapping=approved; missing=0; outlier=2,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,,31.0,BDZ-00021,QX-00005|110|BDZ-00021|#1,
TS-2024-32-SUMMARY,,,mapping=approved; missing=0; outlier=1,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,,32.0,BDZ-00021,QX-00005|110|BDZ-00021|#3,
TS-2024-55-SUMMARY,,,mapping=approved; missing=3905; outlier=0,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,,55.0,BDZ-00022,QX-00005|110|BDZ-00022|#1,
TS-2024-56-SUMMARY,,,mapping=approved; missing=3905; outlier=0,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,,56.0,BDZ-00022,QX-00005|110|BDZ-00022|#2,
TS-2024-57-SUMMARY,,,mapping=rejected; missing=8784; outlier=0,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,,57.0,BDZ-00056,QX-00005|110|BDZ-00056|#1,
TS-2024-58-SUMMARY,,,mapping=rejected; missing=8784; outlier=0,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,,58.0,BDZ-00056,QX-00005|110|BDZ-00056|#2,
TS-2024-ANOMALY-31-202411230400,,,2024 quantity outlier isolated and excluded from solving,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,retain raw anomaly and replace corrected value with missing,real_2021_2025,isolated_quantity_outlier,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,2024-11-23 04:00:00,31.0,BDZ-00021,QX-00005|110|BDZ-00021|#1,-7319.0
TS-2024-ANOMALY-31-202411290700,,,2024 quantity outlier isolated and excluded from solving,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,retain raw anomaly and replace corrected value with missing,real_2021_2025,isolated_quantity_outlier,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,2024-11-29 07:00:00,31.0,BDZ-00021,QX-00005|110|BDZ-00021|#1,-6858.0
TS-2024-ANOMALY-32-202412081500,,,2024 quantity outlier isolated and excluded from solving,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,retain raw anomaly and replace corrected value with missing,real_2021_2025,isolated_quantity_outlier,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2024.0,2024-12-08 15:00:00,32.0,BDZ-00021,QX-00005|110|BDZ-00021|#3,16630.0
TS-2025-57-SUMMARY,,,mapping=rejected; missing=7432; outlier=0,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2025.0,,57.0,BDZ-00056,QX-00005|110|BDZ-00056|#1,
TS-2025-58-SUMMARY,,,mapping=rejected; missing=7432; outlier=0,SRC07:Sheet3,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,year_end_only_excluded_from_2025_operating_gate,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2025.0,,58.0,BDZ-00056,QX-00005|110|BDZ-00056|#2,
